Event,Station,Date/Time,Latitude,Longitude,Elevation [m],Litter obj,Litter cat,Litter fish
HE419/004-8,H1,2014-04-03 7:18:00,54.0498,8.0828,-18,plastic fragment,plastics,no
HE419/004-8,H1,2014-04-03 7:18:00,54.0498,8.0828,-18,metal texture,metal,no
HE419/004-8,H1,2014-04-03 7:18:00,54.0498,8.0828,-18,glass bottle,glass,no
HE419/007-6,M03,2014-04-03 18:17:00,54.1355,7.0443,-32,net fiber,plastics,yes
HE419/009-5,M05,2014-04-03 23:14:00,54.2122,6.4518,-34,net fiber,plastics,yes
HE419/009-5,M05,2014-04-03 23:14:00,54.2122,6.4518,-34,net fiber,plastics,yes
HE419/009-5,M05,2014-04-03 23:14:00,54.2122,6.4518,-34,net fiber,plastics,yes
HE419/010-5,M67,2014-04-04 2:01:00,54.1107,6.0908,-29,net fiber,plastics,yes
HE419/011-6,M66,2014-04-04 3:41:00,54.1597,6.1593,-32,net fiber,plastics,yes
HE419/011-6,M66,2014-04-04 3:41:00,54.1597,6.1593,-32,plastic foil,plastics,no
HE419/011-6,M66,2014-04-04 3:41:00,54.1597,6.1593,-32,piece of beverage can,metal,no
HE419/012-3,M68,2014-04-04 5:59:00,54.2255,6.2318,-33,net fiber,plastics,yes
HE419/012-3,M68,2014-04-04 5:59:00,54.2255,6.2318,-33,net fiber,plastics,yes
HE419/012-3,M68,2014-04-04 5:59:00,54.2255,6.2318,-33,net fiber,plastics,yes
HE419/012-3,M68,2014-04-04 5:59:00,54.2255,6.2318,-33,plastic foil,plastics,no
HE419/013-5,M06,2014-04-04 8:20:00,54.311,6.4655,-33,net fiber,plastics,yes
HE419/014-7,M07,2014-04-04 10:39:00,54.4182,6.6103,-35,net fiber,plastics,yes
HE419/014-7,M07,2014-04-04 10:39:00,54.4182,6.6103,-35,net fiber,plastics,yes
HE419/014-7,M07,2014-04-04 10:39:00,54.4182,6.6103,-35,net fiber,plastics,yes
HE419/016-5,M10,2014-04-04 16:00:00,54.6177,6.065,-38,plastic foil,plastics,no
HE419/017-5,M09,2014-04-04 19:16:00,54.6162,6.3837,-36,plastic bag,plastics,no
HE419/024-5,M101,2014-04-05 15:02:00,54.8985,7.0187,-26,net fiber,plastics,yes
HE419/024-5,M101,2014-04-05 15:02:00,54.8985,7.0187,-26,net fiber,plastics,yes
HE419/026-9,WB,2014-04-05 20:20:00,54.9985,6.5,-42,plastic foil,plastics,no
HE419/026-9,WB,2014-04-05 20:20:00,54.9985,6.5,-42,plastic foil,plastics,no
HE419/027-7,M79,2014-04-05 22:35:00,54.9312,6.4383,-40,plastic rope,plastics,yes
HE419/027-7,M79,2014-04-05 22:35:00,54.9312,6.4383,-40,net fiber,plastics,yes
HE419/027-7,M79,2014-04-05 22:35:00,54.9312,6.4383,-40,net fiber,plastics,yes
HE419/027-7,M79,2014-04-05 22:35:00,54.9312,6.4383,-40,net fiber,plastics,yes
HE419/027-7,M79,2014-04-05 22:35:00,54.9312,6.4383,-40,net fiber,plastics,yes
HE419/027-7,M79,2014-04-05 22:35:00,54.9312,6.4383,-40,net fiber,plastics,yes
HE419/027-7,M79,2014-04-05 22:35:00,54.9312,6.4383,-40,net fiber,plastics,yes
